Country Name,Series Name,Series Code,2004,2005,2006,2007,2008,2009
Argentina,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.788,17.66,17.564,17.481,17.396,17.301
Argentina,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.032407013,4.111634824,4.404525042,4.496833655,4.744178401,4.427960113
Argentina,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.000296393,2.22E-05,0.000194573,0.000452415,0.002615167,0.000309899
Argentina,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.774,7.763,7.753,7.744,7.738,7.732
Argentina,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,0.167189951
Argentina,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,1.200000048,1.100000024,1,0.899999976,1.200000048,1.200000048
Argentina,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-29.79896691,-26.44635142,-18.06010557,-12.62236256,-6.171154155,-7.268812141
Argentina,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,..,..,4.3,..,..,..
Argentina,Forest area (% of land area),AG.LND.FRST.ZS,11.15245059,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796
Argentina,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,15.99355312,16.38292025,15.40737468,10.99399808,9.447404365,10.34150974
Argentina,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.84056093,6.84561938,6.68187053,6.49458405,6.66371839,7.63475841
Argentina,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,1.386459173,1.401936009,1.565563322,1.089996759,0.803251565,0.944676411
Argentina,International migrant stock (% of population),SM.POP.TOTL.ZS,..,3.816695006,..,..,..,..
Argentina,Internet users (per 100 people),IT.NET.USER.P2,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34
Argentina,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.55773171,74.75165854,74.94121951,75.12690244,75.30819512,75.48709756
Argentina,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..
Argentina,Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,33.29999924,32.20000076,28.60000038,25.29999924,27.79999924,24.79999924
Argentina,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,22.68227498,21.91951952,21.28324579,19.92923357,19.94053567,18.69626141
Argentina,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.218160897,0.269132022,0.540984867,0.478475372,0.381050266,0.38626748
Argentina,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.799696414,0.762448625,0.697879247,0.691981965,0.682994135,0.783761712
Argentina,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,35.27228837,57.32899426,80.81882641,102.7215283,117.2211834,131.1294492
Argentina,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,3.430167958,4.583853771,3.777696629,2.903512572,3.42917931,1.484919178
Argentina,Population density (people per sq. km of land area),EN.POP.DNST,14.15168616,14.30395514,14.45496202,14.60519935,14.75573046,14.90802429
Argentina,"Population, total",SP.POP.TOTL,38728778,39145491,39558750,39969903,40381860,40798641
Argentina,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,..,..,..,..,..,..
Argentina,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,40.66797563,40.75079298,40.84280469,40.9417581,41.04531094,41.1472039
Argentina,Population growth (annual %),SP.POP.GROW,1.088568664,1.070230213,1.050166529,1.033983722,1.025392833,1.02680978
Argentina,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,10.07634943,10.11025254,10.1577426,10.21082288,10.26997271,10.33446188
Argentina,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,27.14305367,26.91889086,26.74432837,26.51950394,26.27373776,26.05136529
Argentina,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,7.09,5.37,4.12,3.49,2.97,3.05
Argentina,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..
Argentina,Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population),SI.POV.2DAY,14.61,11.36,8.7,7.13,6.79,6.41
Argentina,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,..,..,..,..,..,..
Argentina,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,99.8238678,97.88861847,100.029213,102.6713409,105.821701,106.0290298
Argentina,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,33.7,36.2,35,40,40,38.5
Argentina,Rural population (% of total population),SP.RUR.TOTL.ZS,10.101,9.916,9.734,9.555,9.378,9.205
Argentina,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.6575165,113.1111832,114.5540771,115.6727524,116.9643784,117.593338
Argentina,"School enrollment, primary (% net)",SE.PRM.NENR,99.17677307,99.11795807,..,..,..,..
Argentina,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,82.23236847
Argentina,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.83184052,84.93228912,84.77960205,84.71263885,85.8864212,88.57929993
Argentina,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,4,4,4,4,4,4
Argentina,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,11.86086466,..,..,..,..,..
Argentina,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241
Argentina,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,8.299963573,10.12444066,9.714707767,8.005063256,8.852827384,5.021011692
Argentina,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,7.414563972,4.68449688,8.505563069,2.720570696,1.991714942,4.002570208
Argentina,Trade (% of GDP),NE.TRD.GNFS.ZS,36.97140911,36.79644458,35.89432435,35.8616295,36.27045525,30.18282575
Argentina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.60000038,10.60000038,10.10000038,8.5,7.800000191,8.600000381
Argentina,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.60000038,10.60000038,10.10000038,8.5,7.800000191,8.600000381
Argentina,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..
Australia,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,35.63,..
Australia,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,37152.25095,37515.69265,37983.21107,38923.0694,39700.1628,39777.84022
Australia,Age dependency ratio (% of working-age population),SP.POP.DPND,48.73022807,48.59637165,48.25615877,48.01052495,47.91250016,47.96929929
Australia,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,3.378548519,3.161389221,2.976711476,2.401501425,2.520519757,2.46242688
Australia,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.3,12.8,12.9,14.1,14,13.9
Australia,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.03034133,17.17438627,17.29387382,17.46700225,17.70407968,17.63183305
Australia,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.438374098,0.055444859,0.11367601,0.459870011,1.97792865,0.461771354
Australia,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.5,6.4,6.4,6.7,6.7,6.5
Australia,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,3.047098606
Australia,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,3.700000048,3.599999905,3.400000095,3.299999952,3.299999952,3.299999952
Australia,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-125.5965531,-133.6660235,-131.9968617,-138.2323143,-130.6767304,-137.9934035
Australia,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,..,..,..,..,..,..
Australia,Forest area (% of land area),AG.LND.FRST.ZS,16.64618669,16.61494604,16.499616,16.38428596,16.26895591,16.15362587
Australia,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,21.37175864,26.78574232,25.47648585,24.41674487,34.26717454,31.98203885
Australia,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.57031529,8.45097932,8.48707508,8.52679567,8.77944854,9.04188995
Australia,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,..,..,..,..,..,..
Australia,International migrant stock (% of population),SM.POP.TOTL.ZS,..,21.25956616,..,..,..,..
Australia,Internet users (per 100 people),IT.NET.USER.P2,..,63,66,69.45,71.67,74.25
Australia,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244
Australia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..
Australia,Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,20.60000038,18.29999924,18.10000038,15.39999962,14.89999962,14.69999981
Australia,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,11.94471929,11.27596404,10.77007155,10.10408601,9.990400382,9.066664624
Australia,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,1.86043587,3.03357499,4.155752048,6.170992274,6.064965519,4.17303495
Australia,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.893102748,1.879528863,1.894850336,1.889463749,1.885063246,1.93235851
Australia,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,81.50958522,89.76286231,94.70140374,100.0646043,102.1940537,100.7390114
Australia,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0.859049224,1.256581159,1.186196006,1.066351622,1.211544029,0.712827924
Australia,Population density (people per sq. km of land area),EN.POP.DNST,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496
Australia,"Population, total",SP.POP.TOTL,20127400,20394800,20697900,20827600,21249200,21691700
Australia,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,..,..,..,..,..,..
Australia,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,61.45074376,61.4321984,61.32073785,61.61294628,61.06070346,60.47833042
Australia,Population growth (annual %),SP.POP.GROW,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513
Australia,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,12.78197291,12.91318726,12.97939633,13.05317819,13.14989817,13.29326723
Australia,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,19.98219707,19.79041724,19.56978249,19.38405743,19.24256451,19.12514486
Australia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..
Australia,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..
Australia,Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population),SI.POV.2DAY,..,..,..,..,..,..
Australia,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,..,..,..,..,..,..
Australia,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..
Australia,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,24.7,24.7,24.7,26.7,26.7,27.3
Australia,Rural population (% of total population),SP.RUR.TOTL.ZS,12.151,12,11.85,11.702,11.555,11.41
Australia,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.3662186,101.5186768,101.7841568,103.4918976,103.4588928,103.7859726
Australia,"School enrollment, primary (% net)",SE.PRM.NENR,94.38938904,94.51106262,94.63292694,96.12532806,96.27088165,96.48526001
Australia,"School enrollment, secondary (% net)",SE.SEC.NENR,85.68070984,84.53285217,83.88156128,83.78434753,83.96350861,84.96041107
Australia,"School enrollment, secondary (% gross)",SE.SEC.ENRR,148.8851776,147.6182556,126.646431,125.3858109,126.7423096,128.7803802
Australia,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,9,9,9,9,9,9
Australia,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,24.32289702,24.84367529,24.57172975,24.10048315,24.24080677,22.09726932
Australia,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,10.38611838,10.43311895,10.55021956,10.55022324,10.55022324,10.55022324
Australia,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,4.174205648,5.613979078,6.833906399,9.152511154,10.88741144,6.471077057
Australia,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..,..
Australia,Trade (% of GDP),NE.TRD.GNFS.ZS,36.71717494,38.85028283,40.9994108,41.3837546,42.10104699,44.96070978
Australia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.400000095,5,4.800000191,4.400000095,4.199999809,5.599999905
Australia,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.400000095,5,4.800000191,4.400000095,4.199999809,5.599999905
Australia,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.343612335,2.668732782,3.538487339,2.332361516,4.352643242,1.82011224
Brazil,GINI index (World Bank estimate),SI.POV.GINI,56.88,56.64,55.93,55.23,54.37,53.87
Brazil,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,11639.63693,11875.57164,12263.93872,12912.69125,13381.06415,13270.71035
Brazil,Age dependency ratio (% of working-age population),SP.POP.DPND,50.67963738,50.09619518,49.53193368,48.93349915,48.32346739,47.73305203
Brazil,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,6.677110049,5.470322695,5.13758263,5.187336798,5.400530827,5.253230609
Brazil,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.729,18.061,17.411,16.818,16.309,15.896
Brazil,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.815133482,1.842690495,1.823133072,1.884034471,1.990428942,1.866522375
Brazil,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.004215075,0.000854986,0.001145661,0.002353601,0.007517353,0.001390468
Brazil,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.336,6.332,6.332,6.337,6.348,6.364
Brazil,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,0.482451028
Brazil,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,21,20.5,19.29999924,18.29999924,17.39999962,17
Brazil,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,13.13024226,9.579242624,7.401957924,8.084068717,8.207357541,4.098608415
Brazil,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,..,..,..,..,..,8.3
Brazil,Forest area (% of land area),AG.LND.FRST.ZS,60.97552805,60.62760375,60.42956926,60.23153477,60.03350028,59.83546579
Brazil,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,4.567795539,5.983345354,7.708439385,8.289251019,9.459411643,8.999659134
Brazil,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.13057282,8.36133828,8.49788751,8.45697079,8.44263776,8.88610991
Brazil,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,2.292420687,1.553111923,1.395213969,1.086342952,1.002771008,0.884903846
Brazil,International migrant stock (% of population),SM.POP.TOTL.ZS,..,0.364129758,..,..,..,..
Brazil,Internet users (per 100 people),IT.NET.USER.P2,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22
Brazil,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.44178049,71.71853659,71.99178049,72.26290244,72.53387805,72.80417073
Brazil,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,88.61624146,..,89.61522675,90.0093689,90.03662109,90.29821014
Brazil,Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,26.20000076,24.60000038,22.60000038,20.79999924,18.89999962,15.69999981
Brazil,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,17.87670594,17.43332856,16.65335539,16.59394545,16.60727725,15.35658409
Brazil,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,1.29906171,1.949779125,2.053689337,3.216380817,3.342396528,1.460177325
Brazil,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.460556848,1.523205399,1.480868553,1.46749614,1.442978829,1.540874966
Brazil,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,35.65289881,46.31418452,53.11025849,63.67475185,78.5549801,87.54187651
Brazil,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0.219822781,0.264503849,0.20783617,0.163407764,0.249463506,0.086809933
Brazil,Population density (people per sq. km of land area),EN.POP.DNST,22.26767714,22.55038083,22.81587064,23.0654812,23.30299516,23.53409945
Brazil,"Population, total",SP.POP.TOTL,186116363,188479240,190698241,192784521,194769696,196701298
Brazil,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,..,..,..,..,..,..
Brazil,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,37.55085736,37.63526636,37.75601108,37.90959597,38.09059804,38.28630658
Brazil,Population growth (annual %),SP.POP.GROW,1.34637133,1.261578257,1.170442045,1.088080503,1.024472074,0.986850983
Brazil,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,5.698387734,5.857965047,6.013266268,6.166898119,6.324416607,6.492795487
Brazil,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,27.93564422,27.5180943,27.11138641,26.68904056,26.2553688,25.81754494
Brazil,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,11.04,9.55,7.94,7.6,6.29,6.18
Brazil,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,22.419686,20.968174,17.290218,16.112436,14.084228,13.289279
Brazil,Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population),SI.POV.2DAY,23.27,21.19,17.88,16.8,14.21,13.46
Brazil,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,..,..,..,..,..,..
Brazil,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..
Brazil,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8.6,8.6,8.8,9,9,8.8
Brazil,Rural population (% of total population),SP.RUR.TOTL.ZS,17.479,17.166,16.857,16.552,16.251,15.956
Brazil,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..
Brazil,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..
Brazil,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..
Brazil,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..
Brazil,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,3,3,3,3,3,3
Brazil,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,15.74509995,16.52020652,16.18001948,15.84367793,15.52035491,14.40398994
Brazil,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,22.9368052,25.01051437,26.27405317,26.27852485,26.27852485,26.2785599
Brazil,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,5.380916467,6.413985121,6.677295547,7.356163978,7.998943665,4.691044645
Brazil,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,8.351501088,7.34123463,5.86125689,4.109215079,3.502384743,2.80347612
Brazil,Trade (% of GDP),NE.TRD.GNFS.ZS,29.66602934,27.07488387,26.04018919,25.31501664,27.27886778,22.13829565
Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.899999619,9.300000191,8.399999619,8.100000381,7.099999905,8.300000191
Brazil,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.899999619,9.300000191,8.399999619,8.100000381,7.099999905,8.300000191
Brazil,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.599124847,6.86734958,4.183680532,3.637027934,5.663098519,4.886408444
Bulgaria,GINI index (World Bank estimate),SI.POV.GINI,..,..,35.73,28.14,33.57,33.82
Bulgaria,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,11745.00084,12405.59569,12921.74398,13405.10189,14664.34802,14219.30118
Bulgaria,Age dependency ratio (% of working-age population),SP.POP.DPND,45.40070698,45.07903911,45.02274227,45.15376472,45.48987016,46.00580027
Bulgaria,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,9.912143674,8.688754686,7.380982381,5.59372934,7.16101447,5.075639615
Bulgaria,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9,9.2,9.6,10,10.4,10.9
Bulgaria,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.012888437,6.18991912,6.357101164,6.916687364,6.778939404,5.729715977
Bulgaria,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.001048871,6.50E-05,0.000282399,0.000714123,0.23930266,0.000808685
Bulgaria,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.2,14.6,14.7,15,14.8,14.5
Bulgaria,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,0.00855316
