"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GDP","TOT","USD_CAP","A","2010",40376.60456,
"DEU","GDP","TOT","USD_CAP","A","2011",42941.890313,
"DEU","GDP","TOT","USD_CAP","A","2012",43599.99053,
"DEU","GDP","TOT","USD_CAP","A","2013",44999.392092,
"DEU","GDP","TOT","USD_CAP","A","2014",46393.605736,
"DEU","GDP","TOT","USD_CAP","A","2015",47318.448404,
"GRC","GDP","TOT","USD_CAP","A","2005",25396.158905,
"GRC","GDP","TOT","USD_CAP","A","2006",28290.1966,
"GRC","GDP","TOT","USD_CAP","A","2007",29308.709996,
"GRC","GDP","TOT","USD_CAP","A","2008",31161.468565,
"GRC","GDP","TOT","USD_CAP","A","2009",30662.011991,
"GRC","GDP","TOT","USD_CAP","A","2010",28961.321984,
"GRC","GDP","TOT","USD_CAP","A","2011",26626.232773,
"GRC","GDP","TOT","USD_CAP","A","2012",25177.392013,
"GRC","GDP","TOT","USD_CAP","A","2013",25522.634865,
"GRC","GDP","TOT","USD_CAP","A","2014",25950.391401,
"HUN","GDP","TOT","USD_CAP","A","2005",17314.476053,
"HUN","GDP","TOT","USD_CAP","A","2006",18652.606656,
"HUN","GDP","TOT","USD_CAP","A","2007",19337.166596,
"HUN","GDP","TOT","USD_CAP","A","2008",20810.785168,
"HUN","GDP","TOT","USD_CAP","A","2009",20860.557122,
"HUN","GDP","TOT","USD_CAP","A","2010",21576.706997,
"HUN","GDP","TOT","USD_CAP","A","2011",22603.202681,
"HUN","GDP","TOT","USD_CAP","A","2012",22701.450259,
"HUN","GDP","TOT","USD_CAP","A","2013",24037.170454,
"HUN","GDP","TOT","USD_CAP","A","2014",25060.50525,
"ISL","GDP","TOT","USD_CAP","A","2005",35987.011323,
"ISL","GDP","TOT","USD_CAP","A","2006",36662.496668,
"ISL","GDP","TOT","USD_CAP","A","2007",38724.86745,
"ISL","GDP","TOT","USD_CAP","A","2008",41114.605686,
"ISL","GDP","TOT","USD_CAP","A","2009",39818.381954,
"ISL","GDP","TOT","USD_CAP","A","2010",38619.103403,
"ISL","GDP","TOT","USD_CAP","A","2011",39558.431596,
"ISL","GDP","TOT","USD_CAP","A","2012",40277.884636,
"ISL","GDP","TOT","USD_CAP","A","2013",42715.132023,
"ISL","GDP","TOT","USD_CAP","A","2014",43992.755329,
"IRL","GDP","TOT","USD_CAP","A","2005",40446.233878,
"IRL","GDP","TOT","USD_CAP","A","2006",44002.741637,
"IRL","GDP","TOT","USD_CAP","A","2007",46722.591109,
"IRL","GDP","TOT","USD_CAP","A","2008",43838.714123,
"IRL","GDP","TOT","USD_CAP","A","2009",41831.70661,
"IRL","GDP","TOT","USD_CAP","A","2010",43253.196273,
"IRL","GDP","TOT","USD_CAP","A","2011",45669.962531,
"IRL","GDP","TOT","USD_CAP","A","2012",46030.18813,
"IRL","GDP","TOT","USD_CAP","A","2013",47563.121605,
"IRL","GDP","TOT","USD_CAP","A","2014",49402.40633,
"ITA","GDP","TOT","USD_CAP","A","2005",29553.62607,
"ITA","GDP","TOT","USD_CAP","A","2006",31812.604045,
"ITA","GDP","TOT","USD_CAP","A","2007",33527.483638,
"ITA","GDP","TOT","USD_CAP","A","2008",34941.177408,
"ITA","GDP","TOT","USD_CAP","A","2009",33882.316011,
"ITA","GDP","TOT","USD_CAP","A","2010",34419.432235,
"ITA","GDP","TOT","USD_CAP","A","2011",35494.454893,
"ITA","GDP","TOT","USD_CAP","A","2012",35455.102739,
"ITA","GDP","TOT","USD_CAP","A","2013",35518.403094,
"ITA","GDP","TOT","USD_CAP","A","2014",35459.182939,
"JPN","GDP","TOT","USD_CAP","A","2005",30445.637155,
"JPN","GDP","TOT","USD_CAP","A","2006",31794.63418,
"JPN","GDP","TOT","USD_CAP","A","2007",33319.33177,
"JPN","GDP","TOT","USD_CAP","A","2008",33499.886734,
"JPN","GDP","TOT","USD_CAP","A","2009",31860.606854,
"JPN","GDP","TOT","USD_CAP","A","2010",33768.095849,
"JPN","GDP","TOT","USD_CAP","A","2011",34331.617937,
"JPN","GDP","TOT","USD_CAP","A","2012",35738.275135,
"JPN","GDP","TOT","USD_CAP","A","2013",36619.922985,
"JPN","GDP","TOT","USD_CAP","A","2014",36580.605814,
"KOR","GDP","TOT","USD_CAP","A","2005",24219.827606,
"KOR","GDP","TOT","USD_CAP","A","2006",25863.190623,
"KOR","GDP","TOT","USD_CAP","A","2007",27871.88879,
"KOR","GDP","TOT","USD_CAP","A","2008",28717.867645,
"KOR","GDP","TOT","USD_CAP","A","2009",28392.778314,
"KOR","GDP","TOT","USD_CAP","A","2010",30465.470739,
"KOR","GDP","TOT","USD_CAP","A","2011",31327.403809,
"KOR","GDP","TOT","USD_CAP","A","2012",32222.880455,
"KOR","GDP","TOT","USD_CAP","A","2013",32663.815673,
"KOR","GDP","TOT","USD_CAP","A","2014",33394.770096,
"LUX","GDP","TOT","USD_CAP","A","2005",67002.979634,
"LUX","GDP","TOT","USD_CAP","A","2006",77257.985322,
"LUX","GDP","TOT","USD_CAP","A","2007",82724.286316,
"LUX","GDP","TOT","USD_CAP","A","2008",84920.057285,
"LUX","GDP","TOT","USD_CAP","A","2009",80238.866,
"LUX","GDP","TOT","USD_CAP","A","2010",84498.63511,
"LUX","GDP","TOT","USD_CAP","A","2011",90888.713608,
"LUX","GDP","TOT","USD_CAP","A","2012",90693.649329,
"LUX","GDP","TOT","USD_CAP","A","2013",95587.309012,
"LUX","GDP","TOT","USD_CAP","A","2014",98110.108594,
"MEX","GDP","TOT","USD_CAP","A","2005",12341.514467,
"MEX","GDP","TOT","USD_CAP","A","2006",13504.752056,
"MEX","GDP","TOT","USD_CAP","A","2007",14131.626273,
"MEX","GDP","TOT","USD_CAP","A","2008",14743.300293,
"MEX","GDP","TOT","USD_CAP","A","2009",14397.968516,
"MEX","GDP","TOT","USD_CAP","A","2010",15143.266911,
"MEX","GDP","TOT","USD_CAP","A","2011",16366.300712,
"MEX","GDP","TOT","USD_CAP","A","2012",16958.573168,
"MEX","GDP","TOT","USD_CAP","A","2013",16946.948229,
"MEX","GDP","TOT","USD_CAP","A","2014",18046.269425,"E"
"NLD","GDP","TOT","USD_CAP","A","2005",37312.874329,
"NLD","GDP","TOT","USD_CAP","A","2006",40828.194201,
"NLD","GDP","TOT","USD_CAP","A","2007",43669.029706,
"NLD","GDP","TOT","USD_CAP","A","2008",46156.041566,
"NLD","GDP","TOT","USD_CAP","A","2009",44398.286351,
"NLD","GDP","TOT","USD_CAP","A","2010",44783.010178,
"NLD","GDP","TOT","USD_CAP","A","2011",46388.500348,
"NLD","GDP","TOT","USD_CAP","A","2012",46457.07366,
"NLD","GDP","TOT","USD_CAP","A","2013",47967.163272,
"NLD","GDP","TOT","USD_CAP","A","2014",48256.192758,
"NLD","GDP","TOT","USD_CAP","A","2015",49486.539734,
"NZL","GDP","TOT","USD_CAP","A","2005",25666.253734,
"NZL","GDP","TOT","USD_CAP","A","2006",27614.001925,
"NZL","GDP","TOT","USD_CAP","A","2007",29181.616329,
"NZL","GDP","TOT","USD_CAP","A","2008",29481.561397,
"NZL","GDP","TOT","USD_CAP","A","2009",30385.6378,
"NZL","GDP","TOT","USD_CAP","A","2010",30907.454588,
"NZL","GDP","TOT","USD_CAP","A","2011",32220.517456,
"NZL","GDP","TOT","USD_CAP","A","2012",32531.176707,
"NZL","GDP","TOT","USD_CAP","A","2013",36410.408714,
"NZL","GDP","TOT","USD_CAP","A","2014",38113.407895,"E"
"NOR","GDP","TOT","USD_CAP","A","2005",48359.555035,
"NOR","GDP","TOT","USD_CAP","A","2006",54719.878503,
"NOR","GDP","TOT","USD_CAP","A","2007",56864.687125,
"NOR","GDP","TOT","USD_CAP","A","2008",62434.355557,
"NOR","GDP","TOT","USD_CAP","A","2009",56182.189736,
"NOR","GDP","TOT","USD_CAP","A","2010",58775.397178,
"NOR","GDP","TOT","USD_CAP","A","2011",62737.796038,
"NOR","GDP","TOT","USD_CAP","A","2012",66357.727096,
"NOR","GDP","TOT","USD_CAP","A","2013",65685.190724,
"NOR","GDP","TOT","USD_CAP","A","2014",64940.385055,
"POL","GDP","TOT","USD_CAP","A","2005",13808.435774,"E"
"POL","GDP","TOT","USD_CAP","A","2006",15147.290063,"E"
"POL","GDP","TOT","USD_CAP","A","2007",16892.348593,"E"
"POL","GDP","TOT","USD_CAP","A","2008",18050.771798,"E"
"POL","GDP","TOT","USD_CAP","A","2009",19138.799758,"E"
"POL","GDP","TOT","USD_CAP","A","2010",20625.961945,"E"
"POL","GDP","TOT","USD_CAP","A","2011",22249.514793,"E"
"POL","GDP","TOT","USD_CAP","A","2012",23310.220467,"E"
"POL","GDP","TOT","USD_CAP","A","2013",24199.970469,"E"
"POL","GDP","TOT","USD_CAP","A","2014",24951.55468,"E"
"PRT","GDP","TOT","USD_CAP","A","2005",22072.707119,
"PRT","GDP","TOT","USD_CAP","A","2006",23872.176823,
"PRT","GDP","TOT","USD_CAP","A","2007",25221.476596,
"PRT","GDP","TOT","USD_CAP","A","2008",26095.74068,
"PRT","GDP","TOT","USD_CAP","A","2009",26208.96626,
"PRT","GDP","TOT","USD_CAP","A","2010",26943.008845,
"PRT","GDP","TOT","USD_CAP","A","2011",26932.320085,
"PRT","GDP","TOT","USD_CAP","A","2012",27125.279795,
"PRT","GDP","TOT","USD_CAP","A","2013",27929.922961,
"PRT","GDP","TOT","USD_CAP","A","2014",28759.886956,"E"
"SVK","GDP","TOT","USD_CAP","A","2005",16481.666881,
"SVK","GDP","TOT","USD_CAP","A","2006",18748.367893,
"SVK","GDP","TOT","USD_CAP","A","2007",21352.113873,
"SVK","GDP","TOT","USD_CAP","A","2008",23727.537513,
"SVK","GDP","TOT","USD_CAP","A","2009",23038.239956,
"SVK","GDP","TOT","USD_CAP","A","2010",24341.677012,
"SVK","GDP","TOT","USD_CAP","A","2011",25168.75326,
"SVK","GDP","TOT","USD_CAP","A","2012",26097.727363,
"SVK","GDP","TOT","USD_CAP","A","2013",27416.167369,
"SVK","GDP","TOT","USD_CAP","A","2014",28326.966119,
"ESP","GDP","TOT","USD_CAP","A","2005",27862.939315,
"ESP","GDP","TOT","USD_CAP","A","2006",30886.318164,
"ESP","GDP","TOT","USD_CAP","A","2007",32796.712524,
"ESP","GDP","TOT","USD_CAP","A","2008",33708.163593,
"ESP","GDP","TOT","USD_CAP","A","2009",32793.395141,
"ESP","GDP","TOT","USD_CAP","A","2010",32382.852945,
"ESP","GDP","TOT","USD_CAP","A","2011",32534.562078,
"ESP","GDP","TOT","USD_CAP","A","2012",32240.195212,
"ESP","GDP","TOT","USD_CAP","A","2013",32861.359351,
"ESP","GDP","TOT","USD_CAP","A","2014",33637.58619,
"SWE","GDP","TOT","USD_CAP","A","2005",34332.218486,
"SWE","GDP","TOT","USD_CAP","A","2006",37571.147146,
"SWE","GDP","TOT","USD_CAP","A","2007",40560.859917,
"SWE","GDP","TOT","USD_CAP","A","2008",41881.010986,
"SWE","GDP","TOT","USD_CAP","A","2009",39657.30436,
"SWE","GDP","TOT","USD_CAP","A","2010",41756.097308,
"SWE","GDP","TOT","USD_CAP","A","2011",43709.272876,
"SWE","GDP","TOT","USD_CAP","A","2012",44433.606335,
"SWE","GDP","TOT","USD_CAP","A","2013",45067.337658,
"SWE","GDP","TOT","USD_CAP","A","2014",45297.813757,
"CHE","GDP","TOT","USD_CAP","A","2005",38916.066793,
"CHE","GDP","TOT","USD_CAP","A","2006",43113.468345,
"CHE","GDP","TOT","USD_CAP","A","2007",47170.125967,
"CHE","GDP","TOT","USD_CAP","A","2008",50225.747752,
"CHE","GDP","TOT","USD_CAP","A","2009",49706.176192,
"CHE","GDP","TOT","USD_CAP","A","2010",51155.822796,
"CHE","GDP","TOT","USD_CAP","A","2011",54550.692599,
"CHE","GDP","TOT","USD_CAP","A","2012",57205.370514,
"CHE","GDP","TOT","USD_CAP","A","2013",59351.41223,
"CHE","GDP","TOT","USD_CAP","A","2014",59535.812012,
"TUR","GDP","TOT","USD_CAP","A","2005",11394.035004,
"TUR","GDP","TOT","USD_CAP","A","2006",12896.768248,
"TUR","GDP","TOT","USD_CAP","A","2007",13894.955669,
"TUR","GDP","TOT","USD_CAP","A","2008",15021.362895,
"TUR","GDP","TOT","USD_CAP","A","2009",14490.717748,
"TUR","GDP","TOT","USD_CAP","A","2010",16012.448038,
"TUR","GDP","TOT","USD_CAP","A","2011",17692.266396,
"TUR","GDP","TOT","USD_CAP","A","2012",18437.108225,"E"
"TUR","GDP","TOT","USD_CAP","A","2013",19155.833404,"E"
"TUR","GDP","TOT","USD_CAP","A","2014",19610.303654,"E"
"GBR","GDP","TOT","USD_CAP","A","2005",34616.439801,
"GBR","GDP","TOT","USD_CAP","A","2006",36898.001744,
"GBR","GDP","TOT","USD_CAP","A","2007",37505.322926,
"GBR","GDP","TOT","USD_CAP","A","2008",37765.490138,
"GBR","GDP","TOT","USD_CAP","A","2009",36371.405249,
"GBR","GDP","TOT","USD_CAP","A","2010",35884.030126,
"GBR","GDP","TOT","USD_CAP","A","2011",36575.082711,
"GBR","GDP","TOT","USD_CAP","A","2012",37566.557276,
"GBR","GDP","TOT","USD_CAP","A","2013",39124.81048,
"GBR","GDP","TOT","USD_CAP","A","2014",40209.628217,
"USA","GDP","TOT","USD_CAP","A","2005",44236.606947,
"USA","GDP","TOT","USD_CAP","A","2006",46368.987143,
"USA","GDP","TOT","USD_CAP","A","2007",47987.494034,
"USA","GDP","TOT","USD_CAP","A","2008",48330.061765,
"USA","GDP","TOT","USD_CAP","A","2009",46929.888686,
"USA","GDP","TOT","USD_CAP","A","2010",48302.083871,
"USA","GDP","TOT","USD_CAP","A","2011",49709.538331,
"USA","GDP","TOT","USD_CAP","A","2012",51368.22311,
"USA","GDP","TOT","USD_CAP","A","2013",52591.882944,
"USA","GDP","TOT","USD_CAP","A","2014",54353.192469,
"CHL","GDP","TOT","USD_CAP","A","2005",12689.733678,
"CHL","GDP","TOT","USD_CAP","A","2006",15492.149569,
"CHL","GDP","TOT","USD_CAP","A","2007",16704.209895,
"CHL","GDP","TOT","USD_CAP","A","2008",16322.32376,
"CHL","GDP","TOT","USD_CAP","A","2009",16131.339984,
"CHL","GDP","TOT","USD_CAP","A","2010",18165.966605,
"CHL","GDP","TOT","USD_CAP","A","2011",20188.52823,
"CHL","GDP","TOT","USD_CAP","A","2012",21294.735311,
"CHL","GDP","TOT","USD_CAP","A","2013",21334.878787,
"CHL","GDP","TOT","USD_CAP","A","2014",21980.038668,
"CHN","GDP","TOT","USD_CAP","A","2005",5038.538424,
"CHN","GDP","TOT","USD_CAP","A","2006",5821.46892,
"CHN","GDP","TOT","USD_CAP","A","2007",6789.570052,
"CHN","GDP","TOT","USD_CAP","A","2008",7550.499441,
"CHN","GDP","TOT","USD_CAP","A","2009",8269.961574,
"CHN","GDP","TOT","USD_CAP","A","2010",9216.673058,
"CHN","GDP","TOT","USD_CAP","A","2011",10249.93958,
"CHN","GDP","TOT","USD_CAP","A","2012",11187.06318,
"CHN","GDP","TOT","USD_CAP","A","2013",12166.139085,
"CHN","GDP","TOT","USD_CAP","A","2014",13175.529345,
"COL","GDP","TOT","USD_CAP","A","2005",8324.71463,
"COL","GDP","TOT","USD_CAP","A","2006",9046.028458,
"COL","GDP","TOT","USD_CAP","A","2007",9809.877887,
"COL","GDP","TOT","USD_CAP","A","2008",10234.929825,
"COL","GDP","TOT","USD_CAP","A","2009",10359.991318,
"COL","GDP","TOT","USD_CAP","A","2010",10775.871124,
"COL","GDP","TOT","USD_CAP","A","2011",11586.873582,
"COL","GDP","TOT","USD_CAP","A","2012",12130.332739,
"COL","GDP","TOT","USD_CAP","A","2013",12770.969959,"E"
"EST","GDP","TOT","USD_CAP","A","2005",16510.224445,
"EST","GDP","TOT","USD_CAP","A","2006",19243.512238,
"EST","GDP","TOT","USD_CAP","A","2007",21800.300122,
"EST","GDP","TOT","USD_CAP","A","2008",22486.906485,
"EST","GDP","TOT","USD_CAP","A","2009",20188.249049,
"EST","GDP","TOT","USD_CAP","A","2010",21084.229085,
"EST","GDP","TOT","USD_CAP","A","2011",23914.116217,
"EST","GDP","TOT","USD_CAP","A","2012",25872.031022,
"EST","GDP","TOT","USD_CAP","A","2013",27123.971899,
"EST","GDP","TOT","USD_CAP","A","2014",28113.120983,
"IND","GDP","TOT","USD_CAP","A","2005",2959.316302,
"IND","GDP","TOT","USD_CAP","A","2006",3285.274724,
"IND","GDP","TOT","USD_CAP","A","2007",3651.604344,
"IND","GDP","TOT","USD_CAP","A","2008",3782.835266,
"IND","GDP","TOT","USD_CAP","A","2009",4158.883768,
"IDN","GDP","TOT","USD_CAP","A","2005",6856.464398,"E"
"IDN","GDP","TOT","USD_CAP","A","2006",7358.969216,"E"
"IDN","GDP","TOT","USD_CAP","A","2007",7931.092012,"E"
"IDN","GDP","TOT","USD_CAP","A","2008",8464.89771,
"IDN","GDP","TOT","USD_CAP","A","2009",8637.561392,
"IDN","GDP","TOT","USD_CAP","A","2010",8432.687923,
"IDN","GDP","TOT","USD_CAP","A","2011",8906.894877,"E"
"IDN","GDP","TOT","USD_CAP","A","2012",9494.283682,"E"
"IDN","GDP","TOT","USD_CAP","A","2013",10051.125535,"E"
"ISR","GDP","TOT","USD_CAP","A","2005",24774.040857,
"ISR","GDP","TOT","USD_CAP","A","2006",25640.839754,
"ISR","GDP","TOT","USD_CAP","A","2007",27434.666059,
"ISR","GDP","TOT","USD_CAP","A","2008",27357.902045,
"ISR","GDP","TOT","USD_CAP","A","2009",27571.079672,
"ISR","GDP","TOT","USD_CAP","A","2010",28911.544323,
"ISR","GDP","TOT","USD_CAP","A","2011",30584.882482,
"ISR","GDP","TOT","USD_CAP","A","2012",32006.958489,
"ISR","GDP","TOT","USD_CAP","A","2013",33396.614896,
"ISR","GDP","TOT","USD_CAP","A","2014",33718.209879,
"RUS","GDP","TOT","USD_CAP","A","2005",11822.34781,
"RUS","GDP","TOT","USD_CAP","A","2006",14916.178065,
"RUS","GDP","TOT","USD_CAP","A","2007",16648.592349,
"RUS","GDP","TOT","USD_CAP","A","2008",20163.604521,
"RUS","GDP","TOT","USD_CAP","A","2009",19386.59964,
"RUS","GDP","TOT","USD_CAP","A","2010",20497.94515,
"RUS","GDP","TOT","USD_CAP","A","2011",22569.809562,
"RUS","GDP","TOT","USD_CAP","A","2012",23524.903044,"E"
"RUS","GDP","TOT","USD_CAP","A","2013",22629.054241,"E"
"SVN","GDP","TOT","USD_CAP","A","2005",23883.773963,
"SVN","GDP","TOT","USD_CAP","A","2006",25856.580294,
"SVN","GDP","TOT","USD_CAP","A","2007",27667.554622,
"SVN","GDP","TOT","USD_CAP","A","2008",29588.546147,"B"
"SVN","GDP","TOT","USD_CAP","A","2009",27479.492681,
"SVN","GDP","TOT","USD_CAP","A","2010",27604.552198,
"SVN","GDP","TOT","USD_CAP","A","2011",28513.498679,
"SVN","GDP","TOT","USD_CAP","A","2012",28487.114936,
"SVN","GDP","TOT","USD_CAP","A","2013",29103.255372,
"SVN","GDP","TOT","USD_CAP","A","2014",30405.341544,
"ZAF","GDP","TOT","USD_CAP","A","2005",9929.101691,
"ZAF","GDP","TOT","USD_CAP","A","2006",10658.711974,
"ZAF","GDP","TOT","USD_CAP","A","2007",11368.816943,
"ZAF","GDP","TOT","USD_CAP","A","2008",11792.110133,
"ZAF","GDP","TOT","USD_CAP","A","2009",11529.350894,
"ZAF","GDP","TOT","USD_CAP","A","2010",11847.038174,
"ZAF","GDP","TOT","USD_CAP","A","2011",12291.726208,
"ZAF","GDP","TOT","USD_CAP","A","2012",12593.251414,
"ZAF","GDP","TOT","USD_CAP","A","2013",12858.334137,
"ZAF","GDP","TOT","USD_CAP","A","2014",13032.440525,
"EU28","GDP","TOT","USD_CAP","A","2005",27750.407539,
"EU28","GDP","TOT","USD_CAP","A","2006",30064.691602,
"EU28","GDP","TOT","USD_CAP","A","2007",31836.632925,
"EU28","GDP","TOT","USD_CAP","A","2008",33140.537751,
"EU28","GDP","TOT","USD_CAP","A","2009",32352.981678,
"EU28","GDP","TOT","USD_CAP","A","2010",33213.222919,
"EU28","GDP","TOT","USD_CAP","A","2011",34510.837491,
"EU28","GDP","TOT","USD_CAP","A","2012",35000.555078,
"EU28","GDP","TOT","USD_CAP","A","2013",36113.923807,
"EU28","GDP","TOT","USD_CAP","A","2014",36818.904209,
"OECD","GDP","TOT","USD_CAP","A","2005",30511.902831,"E"
"OECD","GDP","TOT","USD_CAP","A","2006",32520.16432,"E"
"OECD","GDP","TOT","USD_CAP","A","2007",34074.680765,"E"
"OECD","GDP","TOT","USD_CAP","A","2008",34852.420452,"E"
"OECD","GDP","TOT","USD_CAP","A","2009",33896.0828,"E"
"OECD","GDP","TOT","USD_CAP","A","2010",35109.322107,"E"
"OECD","GDP","TOT","USD_CAP","A","2011",36394.39365,"E"
"OECD","GDP","TOT","USD_CAP","A","2012",37298.662843,"E"
"OECD","GDP","TOT","USD_CAP","A","2013",38331.514601,"E"
"OECD","GDP","TOT","USD_CAP","A","2014",39210.196758,"E"
"OECDE","GDP","TOT","USD_CAP","A","2005",28858.947057,
"OECDE","GDP","TOT","USD_CAP","A","2006",31242.716014,
"OECDE","GDP","TOT","USD_CAP","A","2007",32892.770835,
"OECDE","GDP","TOT","USD_CAP","A","2008",34145.110734,
"OECDE","GDP","TOT","USD_CAP","A","2009",33115.747993,
"OECDE","GDP","TOT","USD_CAP","A","2010",34058.998985,
"OECDE","GDP","TOT","USD_CAP","A","2011",35429.379205,
"OECDE","GDP","TOT","USD_CAP","A","2012",35894.16035,"E"
"OECDE","GDP","TOT","USD_CAP","A","2013",36945.231629,"E"
"OECDE","GDP","TOT","USD_CAP","A","2014",37536.436834,"E"
"LVA","GDP","TOT","USD_CAP","A","2005",14119.397217,
"LVA","GDP","TOT","USD_CAP","A","2006",16602.522013,
"LVA","GDP","TOT","USD_CAP","A","2007",19015.635373,
"LVA","GDP","TOT","USD_CAP","A","2008",19871.035455,
"LVA","GDP","TOT","USD_CAP","A","2009",17030.3755,
"LVA","GDP","TOT","USD_CAP","A","2010",17412.122407,
"LVA","GDP","TOT","USD_CAP","A","2011",19459.323578,
